1	2	4
2	3	11.278
3	3	18.444
4	1	27.222
5	3	34.778
6	2	42.278
7	1	51.278
8	3	58.333
9	1	68
10	2	78
11	1	87.056
12	1	94.444
13	2	102.11
14	1	109.89
15	2	117.22
16	1	124.56
17	3	131.78
18	2	138.78
19	3	146.72
20	2	154.5
21	2	162
22	3	169.22
23	3	179
24	2	186.11
25	1	195.44
26	1	202.5
27	2	210.72
28	3	219.11
29	1	226.94
30	1	234.22
31	3	242.11
32	2	249.5
33	3	258.17
34	3	267.11
35	1	274.83
36	3	282.56
37	3	290.39
38	2	300.28
39	2	307.44
40	3	315
41	1	322.39
42	2	329.83
43	3	337.17
44	2	345.78
45	2	353.06
46	1	361.33
47	1	370.5
48	2	378.17
49	3	386.17
50	3	395.89
51	2	405.44
52	2	413.06
53	1	420.28
54	3	427.28
55	2	435.39
56	1	442.5
57	1	452.44
58	3	459.56
59	1	469
60	1	476
