1	3	4
2	1	11.444
3	2	18.444
4	1	28.333
5	3	36.556
6	3	43.833
7	1	52.111
8	3	60.389
9	2	69.056
10	3	76.667
11	1	84.278
12	2	91.5
13	3	99.389
14	2	108.5
15	3	116.67
16	3	126.28
17	2	133.28
18	1	140.94
19	2	148.61
20	1	155.89
21	1	163.11
22	3	170.22
23	3	178.72
24	1	186.17
25	2	193.44
26	2	202.28
27	3	212.28
28	2	220.06
29	1	227.28
30	2	234.39
31	3	242.28
32	2	251.44
33	1	258.89
34	2	267.67
35	1	275.33
36	1	283
37	3	291
38	2	299.89
39	3	307.22
40	2	316.56
41	1	325.17
42	3	332.33
43	2	339.44
44	1	347.33
45	1	354.72
46	2	362.67
47	1	370.5
48	1	378.33
49	3	388.06
50	3	395.22
51	2	403.06
52	2	410.17
53	3	419.72
54	1	426.78
55	2	436.06
56	3	443.06
57	2	453
58	1	460
59	1	467.06
60	3	476
