1	3	4
2	1	11.278
3	3	18.611
4	3	26.611
5	1	34.667
6	1	43.056
7	3	52.778
8	1	60.222
9	2	69.444
10	3	78.333
11	1	85.5
12	2	94
13	1	102.28
14	3	110.56
15	2	118.33
16	2	125.39
17	1	134.83
18	2	142.83
19	2	152.78
20	1	159.83
21	3	167
22	1	175.83
23	2	183.17
24	3	190.17
25	1	199.33
26	3	206.89
27	2	214.28
28	2	222.83
29	1	230.61
30	3	238.11
31	3	248.11
32	1	255.22
33	1	262.89
34	3	271.61
35	2	278.72
36	3	286.56
37	1	294.06
38	2	303.72
39	2	310.78
40	3	319.78
41	3	327
42	2	334.28
43	2	343.78
44	3	351.28
45	2	359.06
46	1	366.67
47	3	376.5
48	1	384.06
49	3	391.22
50	2	399.11
51	2	407.33
52	1	414.61
53	1	421.72
54	2	429.22
55	2	436.56
56	1	445
57	3	452.22
58	2	460.89
59	1	467.89
60	3	476
