1	1	4
2	2	11.333
3	1	18.944
4	2	28.889
5	2	36.111
6	3	44.722
7	3	52.056
8	1	59.222
9	1	66.889
10	3	74.167
11	1	84.167
12	3	91.944
13	2	100.5
14	3	107.89
15	1	117.22
16	1	124.94
17	2	132.78
18	3	141.56
19	2	150.5
20	3	157.72
21	1	164.89
22	2	173.89
23	1	180.94
24	3	188.56
25	2	196.83
26	3	206.11
27	1	215.11
28	2	222.17
29	1	230.22
30	2	237.61
31	1	245.44
32	2	255.22
33	1	265.11
34	2	272.78
35	1	279.89
36	3	287
37	3	294
38	2	301.22
39	2	308.67
40	3	318.5
41	1	326.5
42	1	335.22
43	3	342.56
44	2	351.28
45	2	358.72
46	3	365.72
47	1	373.28
48	3	380.67
49	3	388
50	2	395.56
51	2	402.61
52	1	410.17
53	1	419.56
54	3	429.17
55	1	436.33
56	3	444.06
57	3	451.28
58	2	459.22
59	2	466.33
60	3	476
